theme,title,to,from,description
입시,육군학군사관(ROTC) 지원서 접수 기간,2021-03-02 09:00:00,2021-04-09 12:00:00,육군학군사관(ROTC) 지원서 접수
입시,육군학군사관(ROTC) 필기고사,2021-04-17 00:00:00,2021-04-17 00:00:00,육군학군사관(ROTC) 필기고사
입시,육군학군사관(ROTC) 1차 합격 발표,2021-05-07 14:00:00,2021-05-07 14:00:00,육군학군사관(ROTC) 1차 합격 발표
입시,육군학군사관(ROTC) 1차 선발자 서류제출,2021-05-10 09:00:00,2021-05-18 17:00:00,육군학군사관(ROTC) 1차 선발자 서류제출
입시,육군학군사관(ROTC) 면접평가 기간,2021-05-24 09:00:00,2021-06-18 09:00:00,육군학군사관(ROTC) 면접평가
입시,육군학군사관(ROTC) 신체검사 기간,2021-05-10 09:00:00,2021-07-02 12:00:00,육군학군사관(ROTC) 신체검사
입시,육군학군사관(ROTC) 1차 합격자 인터넷 신청,2021-05-10 09:00:00,2021-05-18 12:00:00,육군학군사관(ROTC) 1차 합격자 인터넷 신청
입시,육군학군사관(ROTC) 체력인증서 서류 제출,2021-06-18 09:00:00,2021-06-18 12:00:00,육군학군사관(ROTC) 체력인증서 서류 제출
입시,육군학군사관(ROTC) 신원조사 기간,2021-05-20 09:00:00,2021-06-18 09:00:00,육군학군사관(ROTC) 신원조사
입시,육군학군사관(ROTC) 최종합격 발표,2021-07-16 09:00:00,2021-07-16 12:00:00,육군학군사관(ROTC) 최종합격 발표
