전공명,과목구분,과목명
군사학,필수,군대윤리
군사학,필수,리더십개론
군사학,필수,충무공과한국해군
군사학,필수,해군교리및작전
군사학,필수,군사학개론
군사학,필수,해전사
군사학,필수,북한학
군사학,필수,해군무기체계공학
군사학,필수,국방사이버보안 및 실습
군사학,필수,함정공학개론
군사학,필수,항해학개론
군사학,필수,선박조종론
군사학,필수,추진체계학
군사학,선택,군사심리학
군사학,선택,병법사상의 이해
군사학,선택,전략론
군사학,선택,상륙전사와전술
군사학,선택,군사법
군사학,선택,해군군사실무
군사학,선택,수중음향학
군사학,선택,잠수함공학개론
군사학,선택,무인체계공학
군사학,선택,해사법규
군사학,선택,항해계기학
사회인문학,필수,대학작문
사회인문학,필수,철학
사회인문학,필수,국사
사회인문학,필수,심리학
사회인문학,필수,국제법
사회인문학,선택,세계문화사
사회인문학,선택,화법
사회인문학,선택,경제학
사회인문학,선택,경영학
사회인문학,선택,사회과학방법론
사회인문학,선택,정치학
사회인문학,선택,제2외국어Ⅱ
사회인문학,선택,영어강독심화
이공학,필수,해양학개론
이공학,필수,전기전자공학개론
이공학,필수,미적분학Ⅰ
이공학,필수,일반물리Ⅰ 및 실험
이공학,필수,일반화학Ⅰ 및 실험
이공학,선택,컴퓨터과학 개론 및 실습
이공학,선택,미적분학Ⅱ
이공학,선택,응용수학
이공학,선택,통계학
이공학,선택,일반물리Ⅱ
이공학,선택,일반화학Ⅱ
이공학,선택,실험계획법
이공학,선택,컴퓨터프로그래밍
외국어,영어,영어강독
외국어,영어,영어회화I/Ⅱ
외국어,영어,군사영어I/Ⅱ
외국어,제2외국어,제2외국어I
체육,필수,수영
체육,필수,태권도
체육,필수,무도실습
체육,필수,체육한이론
체육,필수,실전무도
체육,필수,구기
체육,필수,해양체육
체육,선택,체육지도법
체육,선택,풋살
체육,선택,배트민턴
체육,선택,윈드서핑
체육,선택,크루저
체육,선택,태권도II
전자제어공학과,필수,전자기학
전자제어공학과,필수,전자회로 
전자제어공학과,필수, 신호 및 시스템
전자제어공학과,필수,에너지 변환공학 
전자제어공학과,필수,제어공학
전자제어공학과,필수, 선형 시스템 이론
전자제어공학과,선택,회로이론
전자제어공학과,선택,타전공탐색
전자제어공학과,선택,초고주파 공학 
전자제어공학과,선택, 디지털 시스템 설계 
전자제어공학과,선택,통신공학 
전자제어공학과,선택, 전기기기 
전자제어공학과,선택,디지털 신호처리 
전자제어공학과,선택, 소나/레이더 공학  
전자제어공학과,선택,전자광학 시스템 
전자제어공학과,선택,확률 및 랜덤 프로세서 
조선공학과,필수,기초역학
조선공학과,필수,시스템엔지니어링 
조선공학과,필수,선박계산 
조선공학과,필수,함정 탑재시스템
조선공학과,필수,저항추진  
조선공학과,필수,함정설계 
조선공학과,선택,조선공학개론
조선공학과,선택,타전공탐색
조선공학과,선택,함정건조공학
조선공학과,선택,조선 CAD 
조선공학과,선택,선체구조해석
조선공학과,선택,통합생존성
조선공학과,선택,함정신기술이해 
조선공학과,선택,생산관리 
조선공학과,선택,해양시스템공학
조선공학과,선택,잠수함 설계
기계시스템공학과,필수,고체역학
기계시스템공학과,필수,유체역학
기계시스템공학과,필수,열역학
기계시스템공학과,필수,동역학 
기계시스템공학과,필수,캡스턴 설계
기계시스템공학과,필수,시스템엔지니어링 
기계시스템공학과,선택,기계공학 입문
기계시스템공학과,선택,타전공탐색
기계시스템공학과,선택,구조강도 및 파괴
기계시스템공학과,선택,핵공학개론 
기계시스템공학과,선택,로봇공학 
기계시스템공학과,선택,재료과학
기계시스템공학과,선택,로켓공학 
기계시스템공학과,선택,핵추진공학
기계시스템공학과,선택,신뢰도 공학
기계시스템공학과,선택,시스템 모델링 및 시뮬레이션  
 국방경영학과,필수,경영과학 I
 국방경영학과,필수,조직행동론
 국방경영학과,필수,생산운영관리
 국방경영학과,필수,인적자원관리
 국방경영학과,필수,군수관리
 국방경영학과,필수,경영전략
 국방경영학과,선택,국방의사결정론
 국방경영학과,선택,타전공탐색목
 국방경영학과,선택,경영과학 II
 국방경영학과,선택,재무회계관리
 국방경영학과,선택,경영정보시스템
 국방경영학과,선택,조직구조론
 국방경영학과,선택,해군운영분석
 국방경영학과,선택,품질경영
 국방경영학과,선택,경영협상
 국방경영학과,선택,전략적 성과관리
 해양학과 ,필수,물리해양학
 해양학과 ,필수,해양기상학
 해양학과 ,필수,화학해양학
 해양학과 ,필수,연안해양학
 해양학과 ,필수,수중음향학
 해양학과 ,필수,해양자료분석
 해양학과 ,선택,해양의 이해
 해양학과 ,선택,타전공탐색
 해양학과 ,선택,해양역학개론
 해양학과 ,선택,대기과학개론
 해양학과 ,선택,환경해양학
 해양학과 ,선택,해양모델링
 해양학과 ,선택,해군해양학
 해양학과 ,선택,수중음향모델링
 해양학과 ,선택,지구환경과학개론
 해양학과 ,선택,해양생지화학개론
 사이버과학과,필수,컴퓨터구조
 사이버과학과,필수,객체지향 프로그래밍
 사이버과학과,필수,자료구조
 사이버과학과,필수,운영체제
 사이버과학과,필수,컴퓨터네트워크
 사이버과학과,필수,정보보호
 사이버과학과,선택,프로그래밍 기초
 사이버과학과,선택,타전공탐색
 사이버과학과,선택,데이터베이스
 사이버과학과,선택,시스템프로그래밍
 사이버과학과,선택,웹 프로그래밍
 사이버과학과,선택,무기체계와 프로그래밍
 사이버과학과,선택,인공지능
 사이버과학과,선택,소프트웨어공학
 사이버과학과,선택,알고리즘
 사이버과학과,선택,데이터마이닝
국제관계학과,필수,국제정치사
국제관계학과,필수,국제정치이론
국제관계학과,필수,국제안보론
국제관계학과,필수,비교정치론
국제관계학과,필수,국제경제론
국제관계학과,필수,외교정책론
국제관계학과,선택,동북아국제관계론
국제관계학과,선택,타전공탐색
국제관계학과,선택,국제분쟁론
국제관계학과,선택,국제기구론
국제관계학과,선택,한국정치론
국제관계학과,선택,국제정치세미나
국제관계학과,선택,국제법연구
국제관계학과,선택,국제정치경제
국제관계학과,선택,국방경제학
국제관계학과,선택,정치학특강
군사전략학과 ,필수,세계전쟁사
군사전략학과 ,필수,해양전략
군사전략학과 ,필수,한국의 전쟁사
군사전략학과 ,필수,세계 해전연구I
군사전략학과 ,필수,세계 해전연구II
군사전략학과 ,필수,주변국 군사전략
군사전략학과 ,선택,전쟁과 역사
군사전략학과 ,선택,타전공탐색
군사전략학과 ,선택,국제정치와 전략
군사전략학과 ,선택,전략사상연구
군사전략학과 ,선택,한국 수군사
군사전략학과 ,선택,테러리즘과 해양안보
군사전략학과 ,선택,"1,2차 세계대전사"
군사전략학과 ,선택,한국전쟁연구
군사전략학과 ,선택,국가안보론
군사전략학과 ,선택,군비통제와 국제협력
외국어학과,필수,미디어영어
외국어학과,필수,제2외국어작문
외국어학과,필수,제2외국어지역학
외국어학과,필수,제2외국어회화Ⅰ
외국어학과,필수,제2외국어회화Ⅱ
외국어학과,필수,시사제2외국어
외국어학과,선택,영어학개론
외국어학과,선택,타전공탐색
외국어학과,선택,영문학개론
외국어학과,선택,영어구문연구
외국어학과,선택,언어와 사회
외국어학과,선택,시사영어
외국어학과,선택,영어의미연구
외국어학과,선택,고급영작문
외국어학과,선택,군사저널강독
외국어학과,선택,영미문화연구
